,Year,Mo,Dy,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Focal Depth (km),Deposits,Country,Area,Region,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Damage ($Mil),Damage Description
0,1750,12,17,2.0,1.0,7.1,29.0,0,CROATIA,NA,50.0,RIJEKA,46.0,12.25,1.0,1,0.8,3.0,0,1.0,0.0,1.0
1,1751,5,20,4.0,3.0,6.6,29.0,0,JAPAN,NA,85.0,NW. HONSHU ISLAND,37.2,138.1,1.0,1,1.0,1.0,2100,4.0,0.0,4.0
2,1751,5,25,4.0,1.0,8.5,29.0,1,CHILE,NA,89.0,CENTRAL CHILE,-37.0,-73.0,3.5,7,1.8,3.5,65,2.0,0.0,1.0
3,1751,10,18,3.0,1.0,7.3,29.0,0,DOMINICAN REPUBLIC,NA,74.0,AZUA  DE COMPOSTELA,18.5,-70.7,1.0,3,0.8,1.0,0,1.0,0.0,3.0
4,1751,11,21,2.0,1.0,7.1,29.0,0,ITALY,NA,50.0,LIGURIAN SEA,43.8,9.0,1.0,1,0.8,3.0,0,1.0,0.0,1.0
5,1752,7,21,2.0,1.0,7.0,29.0,0,SYRIA,NA,50.0,LATAKIA,18.6735,34.45,1.0,1,0.8,3.0,0,1.0,0.0,1.0
6,1754,8,18,3.0,1.0,6.5,29.0,0,INDONESIA,NA,83.0,BANDA SEA,-3.5,128.5,1.0,3,0.8,0.0,0,1.0,0.0,1.0
7,1754,9,1,3.0,1.0,7.1,29.0,0,MEXICO,NA,88.0,S. MEXICO,16.8,-99.2,4.0,1,2.0,2.0,0,1.0,0.0,3.0
8,1754,9,2,2.0,1.0,7.2,29.0,0,TURKEY,NA,50.0,MARMARA SEA,40.6,30.0,1.0,0,0.8,1.0,0,1.0,0.0,1.0
9,1754,9,7,2.0,1.0,7.1,29.0,0,INDONESIA,NA,83.0,BANDA SEA,-3.5,128.5,1.0,1,1.0,0.0,0,1.0,0.0,1.0
10,1754,9,16,2.0,1.0,7.1,29.0,0,TURKEY,NA,50.0,MARMARA SEA,40.67466666666667,28.57183333333333,1.0,0,0.8,1.0,0,1.0,0.0,1.0
11,1755,11,1,4.0,1.0,8.5,29.0,38,PORTUGAL,NA,73.0,LISBON,37.0,-10.0,18.3,124,3.6,1.0,50000,4.0,0.0,4.0
12,1755,11,16,2.0,1.0,7.1,29.0,0,SPAIN,NA,73.0,CORUNA,43.4,-11.0,1.0,1,0.8,1.0,0,1.0,0.0,1.0
13,1755,12,21,2.0,1.0,7.1,29.0,0,PORTUGAL,NA,73.0,SW PORTUGAL,37.0,-10.0,1.0,0,0.8,1.0,0,1.0,0.0,1.0
14,1756,2,27,2.0,0.0,7.1,29.0,0,UK,NA,73.0,"ILFRACOMBE, ENGLAND",51.208,-4.122,1.8,1,0.8,1.0,0,1.0,0.0,1.0
15,1756,2,0,4.0,8.0,7.1,29.0,0,NORWAY,NA,73.0,WESTERN NORWAY,62.767,7.9,38.0,0,0.8,6.0,0,1.0,0.0,2.0
16,1757,7,9,3.0,1.0,7.1,29.0,0,PORTUGAL,NA,73.0,AZORES,38.65,-28.08,1.0,5,0.8,1.0,0,1.0,0.0,1.0
17,1757,8,24,2.0,1.0,7.5,29.0,0,INDONESIA,NA,60.0,JAKARTA,-6.0,107.0,0.5,1,0.8,-0.5,0,1.0,0.0,1.0
18,1759,10,30,2.0,1.0,7.1,29.0,0,ISRAEL,NA,50.0,AKKO,33.0,35.5,8.0,1,1.3,4.0,0,1.0,0.0,1.0
19,1760,1,21,2.0,1.0,7.1,29.0,0,GERMANY,NA,73.0,GERMANY & DENMARK,18.6735,34.45,1.0,1,0.8,1.0,0,1.0,0.0,1.0
20,1761,3,31,3.0,1.0,8.5,29.0,0,PORTUGAL,NA,73.0,SW PORTUGAL,34.5,-13.0,2.4,22,1.3,2.0,0,1.0,0.0,1.0
21,1762,4,2,4.0,1.0,7.1,29.0,2,BANGLADESH,NA,60.0,NORTHERN BAY OF BENGAL,22.0,92.0,1.83,4,0.8,1.0,0,3.0,0.0,1.0
22,1762,10,31,4.0,1.0,6.6,29.0,0,JAPAN,NA,85.0,NW. HONSHU ISLAND,38.1,138.7,1.0,1,1.0,1.0,0,1.0,0.0,1.0
23,1763,1,29,3.0,1.0,7.4,29.0,1,JAPAN,NA,85.0,SANRIKU,40.8,142.0,5.0,4,2.0,2.0,0,1.0,0.0,1.0
24,1763,3,11,4.0,1.0,7.8,29.0,1,JAPAN,NA,85.0,N. SANRIKU,41.0,142.5,1.0,1,1.0,1.0,0,1.0,0.0,2.0
